aktiv;orgform;fnr;fnavn;orgnr;virksomhet;virksomhet_kommunenr;virksomhet_kommune;vannforsyningssystem;mtid_vf;ir_orgform;vregnr;kommunenr;kommune;mtregion;mtavdeling;siste_insp;omraade;periode;vannprod;vannegetnett;vann_mottatt;max_vann_pers;max_vann_dogn;beredskap;beredsk_oppd;beredsk_ovelse;boliger;helseinst;skoler;nmindustri;hyttercamp;gardsbruk;fiskemottak;ant_fastboende;ant_personer_max;ant_husstander;ant_hytter;forbr_fast_bosetting;forbr_fritidsboliger;forbr_industri;forbr_tjytende;forbr_primnaering;forbr_annet;forbr_lekkasje
ja;KOMM;972418021;Fauske Kommune;978607926;Fauske Kommune Anleggstjenesten Vva;1841;Fauske;Sulitjelma Fjellandsby Vannverk;Z1002111606547481029ANUBT;Kommunal etat/enhet;184125;1841;Fauske;Region Nord;Avdeling Salten;23.10.2019;Sulitjelma Fjellandsby;2019;16210.0;16210.0;0.0;;;ja;nei;nei;nei;nei;nei;ja;ja;nei;nei;0;120;0;50;;;;;;;
nei;BEDR;;;979507372;Junkerdal Turistsenter;1804;Bodø;Junkerdal Turistsenter Vannverk;Z1002111643011071029TBFKR;Privat AS, BA, lag, stiftelse, statlig etc;;;;Region Nord;Avdeling Salten;06.05.2011;aa;2015;2700.0;2700.0;0.0;0.0;0.0;ja;nei;nei;nei;nei;nei;ja;ja;nei;nei;0;500;0;36;;;;;;;
nei;;;;;Kvitblikk Vannverk;1841;Fauske;Kvitblikk Vannverk;Z1002111736306071029MSIXZ;;;;;Region Nord;Avdeling Salten;17.09.2010;;2010;10000.0;10000.0;;;;nei;nei;nei;;;nei;;nei;;nei;110;110;50;0;;;;;;;
nei;;;;;Orevika Vannforsyning;3802;Holmestrand;Orevika Vannforsyning;Z1002112200451513251IROBH;;;3802;Holmestrand;Region Øst;Avdeling Vestfold;22.03.2011;Orevika;2010;2580.0;2580.0;;;;nei;nei;nei;ja;nei;nei;nei;nei;nei;nei;55;55;33;1;80.0;5.0;;;;;15.0
nei;IKS;871035032;Ivar Iks;974735423;Ivar Iks;1103;Stavanger;Oltedal Vannverk Ivar;Z1002120912229141043WNIUH;;;;;Region Sør og Vest;Avdeling Sør-Rogaland, Sirdal og Flekkefjord;26.04.2010;;2009;56873.0;0.0;;;;ja;ja;ja;;nei;;nei;;;;;;;;;;;;;;
nei;IKS;871035032;Ivar Iks;974735423;Ivar Iks;1103;Stavanger;Gilja Vannverk Ivar;Z1002120914324181043IEHHQ;;;;;Region Sør og Vest;Avdeling Sør-Rogaland, Sirdal og Flekkefjord;14.06.2010;;2009;48724.0;0.0;;;;ja;ja;ja;;;;;;;;;;;;;;;;;;
nei;KOMM;943505527;Deanu Gielda / Tana Kommune;978609120;Vann- Og Kloakkvesenet I Tana;5441;Tana;Alleknjarg Vannverk;Z1002121211538171011QZKHC;;;5441;Tana;Region Nord;Avdeling Finnmark;26.01.2010;Alleknjarg;2012;14600.0;14600.0;0.0;;;nei;nei;nei;ja;nei;nei;nei;nei;ja;nei;88;100;43;1;;;;;;;
nei;;;;;Indre Kjelling Vannverk;1838;Gildeskål;Indre Kjelling Vannverk;Z1002121618090701068GDYBX;;;;;Region Nord;Avdeling Salten;11.10.2010;Indre Kjelling;2010;2217.0;2217.0;;;;ja;nei;nei;ja;nei;nei;nei;nei;nei;;24;40;36;12;;;;;;;
ja;FLI;;;998666392;Strand Nordre Vel;;;Strand Nordre Vel Vannverk;Z1002151145268701010CADJH;Privat AS, BA, lag, stiftelse, statlig etc;70602;3804;Sandefjord;Region Øst;Avdeling Vestfold;09.07.2019;Nordre Strand;2019;300.0;300.0;0.0;;;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;0;90;0;45;;;;;;;
nei;BEDR;;;973766015;Sande Kommune Vann- Og Kloakkvesenet;713;Sande - UTGÅTT KODE;Sande Vannverk (Røysjø);Z1002151237336671010ACEWW;Kommunal etat/enhet;;;;Region Øst;Avdeling Søndre Buskerud;24.10.2014;;2013;0.0;323520.0;323520.0;;;ja;ja;ja;ja;;;;;;;1916;1923;740;0;70.0;;5.0;;5.0;10.0;10.0
nei;SA;970502270;Hodalen Vannverk Sa;994124560;Hodalen Vannverk Sa;3426;Tolga;Hodalen Vannverk;Z1002151249135491068QEJTU;Privat AS, BA, lag, stiftelse, statlig etc;43601;3426;Tolga;Region Øst;Avdeling Glåmdal og Østerdal;16.11.2011;Hodalen;2013;52181.0;52181.0;;;;ja;ja;nei;ja;nei;nei;nei;ja;ja;nei;64;65;24;20;30.0;5.0;;;50.0;;15.0
ja;SA;;;992902620;Refsetvollen Vannverk Sa;5027;Midtre Gauldal;Refsetvollen Vannverk Sa;Z1002151315005391082HLRYJ;Privat AS, BA, lag, stiftelse, statlig etc;;;;Region Midt;Avdeling Gauldal;28.05.2015;Refsetvollen hyttefelt;2017;1000.0;1000.0;0.0;;;ja;nei;nei;ja;nei;nei;nei;nei;ja;nei;7;120;2;38;;;;;;;
nei;KOMM;922121893;Sogndal Kommune;876674572;Teknisk Drift Balestrand;4640;Sogndal;Balestrand Vassverk;Z1002151404407921070UNUTR;;;;;Region Sør og Vest;Avdeling Sunnfjord og Sogn;;Balestrand;2009;230000.0;230000.0;0.0;;;ja;ja;nei;ja;ja;ja;ja;;ja;nei;;;;;;;;;;;
nei;;;;;Grov Vassverk;4651;Stryn;Grov Vassverk;Z1002151417177821084IHBQN;;;;;Region Sør og Vest;Avdeling Nordfjord;;Grov i Hjelledalen;2010;7328.0;7328.0;;;;ja;nei;nei;ja;;nei;;ja;;nei;40;150;15;9;;;;;;;
ja;;;;;Mogrenda Vassverk;4649;Stad;Mogrenda Vassverk;Z1002151443006051084WDERO;Kommunal etat/enhet;144308;;;Region Sør og Vest;Avdeling Nordfjord;09.10.2013;Mogrenda;2016;0.0;4500.0;4000.0;0.0;0.0;ja;nei;nei;ja;nei;nei;nei;nei;nei;nei;60;60;25;0;90.0;10.0;0.0;0.0;0.0;0.0;0.0
nei;;;;;Nedre Verlo Vassverk;4651;Stryn;Nedre Verlo Vassverk;Z1002151453575461084KCWVE;;144908;;;Region Sør og Vest;Avdeling Nordfjord;;Utvik;2011;40000.0;40000.0;;;;ja;nei;nei;ja;nei;ja;ja;ja;ja;nei;200;200;72;2;80.0;5.0;;15.0;;;
ja;;;;;Osmundsvåg Vassverk;4602;Kinn;Osmundsvåg Vassverk;Z1002151506190041084DQBXW;Privat AS, BA, lag, stiftelse, statlig etc;143911;;;Region Sør og Vest;Avdeling Nordfjord;19.04.2018;Osmundsvåg;2016;11000.0;11000.0;0.0;0.0;0.0;ja;nei;nei;ja;nei;nei;nei;nei;nei;nei;39;39;17;4;;;;;;;
nei;;;;;Jahren Vannverk;3030;Lillestrøm;Jahren Vannverk;Z1002151520149161029EXYTI;;;;;Region Stor-Oslo;Avdeling Romerike;;;2010;5322.0;5322.0;0.0;;;;nei;nei;;;;;;;;65;;29;5;85.0;2.0;0.0;6.0;7.0;0.0;0.0
ja;BA;970549692;Sør-Heggdal Vassverk A/L;994364146;Sør-Heggdal Vassverk A/L;1506;Molde;Sør-Heggdal Vassverk Al;Z1002152018147183252RBDEN;Privat AS, BA, lag, stiftelse, statlig etc;154504;1506;Molde;Region Midt;Avdeling Nordmøre og Romsdal;08.03.2012;Sør-Heggdal og Heggdalsvik;2019;10100.0;10100.0;0.0;;;ja;nei;nei;ja;nei;nei;nei;ja;nei;nei;80;120;32;18;70.0;20.0;10.0;0.0;0.0;0.0;0.0
nei;ENK;969118033;Kari Anne Asp;978021328;Kari Anne Asp;3803;Tønsberg;Firing Vannverk;Z1002160949529441093DAIZC;Privat AS, BA, lag, stiftelse, statlig etc;71617;;;Region Øst;Avdeling Vestfold;08.10.2013;;2017;5040.0;5040.0;0.0;;;nei;ja;nei;ja;;;;;;;70;;27;0;85.0;0.0;5.0;0.0;10.0;0.0;0.0
ja;SA;970187588;Storås Vassverk Sa;993668109;Storås Vassverk Sa;5059;Orkland;Storås Vannverk;Z1002161243480901017KNQUP;Privat AS, BA, lag, stiftelse, statlig etc;163603;5059;Orkland;Region Midt;Avdeling Trondheim og omland;28.11.2017;Storås;2019;79790.0;79790.0;0.0;0.0;0.0;ja;ja;nei;ja;nei;ja;nei;ja;ja;nei;453;520;150;3;76.0;1.0;02.mai;8.0;02.mai;0.0;10.0
ja;SA;870188242;Vollan Vassverk Sa;993981575;Vollan Vassverk Sa;5021;Oppdal;Vollan Vassverk Sa;Z1002161248473131017OJXBI;Privat AS, BA, lag, stiftelse, statlig etc;163411;5021;Oppdal;Region Midt;Avdeling Gauldal;19.04.2017;Deler av Båggåstronda( Hoel - Viken);2019;9204.0;9204.0;0.0;19.0;365.0;ja;nei;nei;ja;nei;ja;nei;nei;ja;nei;60;140;25;11;45.0;5.0;0.0;6.0;40.0;0.0;4.0
ja;SA;979126476;Hurunda Vassverk Sa;993683841;Hurunda Vassverk Sa;5022;Rennebu;Hurunda Vassverk Sa;Z1002161250599081017OYOVB;Privat AS, BA, lag, stiftelse, statlig etc;163503;5022;Rennebu;Region Midt;Avdeling Gauldal;02.04.2019;Fom Herremsgrenda tom Maskinstasjonen ( Mali Stavne).Via Røra vassverk helt opp tom Hoelsmoen Bedehus. Innafor nevnte område er det to? private vassverk.;2019;65000.0;65000.0;0.0;254.0;7.0;ja;ja;ja;ja;nei;ja;nei;ja;ja;nei;254;270;130;17;40.0;3.0;2.0;2.0;35.0;3.0;15.0
nei;BEDR;;;994129333;By Vassverk;1657;Skaun - UTGÅTT KODE;By Vassverk;Z1002161253220821017EAQMQ;;165708;5029;Skaun;Region Midt;Avdeling Trondheim og omland;11.11.2011;Myrin, By og Jåren;2011;0.0;16109.0;16109.0;;;nei;nei;nei;ja;nei;nei;nei;nei;ja;nei;150;150;56;3;64.0;1.0;;;10.0;;25.0
ja;SA;992403217;Båtstø Vann Og Avløp Sa;998350980;Båtstø Vann Og Avløp Sa;301;Oslo kommune;Båtstø Vannforsyning;Z1002161513325691079GLRCY;Kommunal etat/enhet;21503;3022;Frogn;Region Stor-Oslo;Avdeling Østfold og Follo;25.07.2018;Nordre Frogn;2019;5155.0;5155.0;0.0;0.0;0.0;ja;nei;nei;nei;nei;nei;nei;nei;nei;nei;0;500;0;300;;;;;;;
ja;FLI;;;995086867;Sviu Vannverk;3014;Indre Østfold;Sviu Vannverk;Z1002171232514591029YJUCK;Privat AS, BA, lag, stiftelse, statlig etc;12504;3014;Indre Østfold;Region Stor-Oslo;Avdeling Østfold og Follo;08.08.2018;Sviu;2018;11000.0;11000.0;0.0;0.0;0.0;ja;ja;ja;ja;nei;nei;nei;nei;ja;nei;90;90;30;0;90.0;0.0;0.0;0.0;10.0;0.0;0.0
nei;SÆR;983971768;Sykehuset Østfold Hf;974633752;Sykehuset Østfold Hf  Kalnes - Somatikk;3003;Sarpsborg;Vannforsyningssystem, Kolstad Sarpsborg;Z1002171314190643252OKJGZ;;;3003;Sarpsborg;Region Stor-Oslo;Avdeling Østfold og Follo;06.06.2013;Jelsnes - Sarpsborg kommune;2011;1000.0;1000.0;;;;nei;nei;nei;ja;ja;nei;nei;nei;nei;nei;20;20;9;0;;;;;;;
ja;SA;970549943;Viki Vassverk Sa;993672769;Viki Vassverk Sa;4621;Voss;Viki Vassverk;Z1002171436086111075XXENE;Privat AS, BA, lag, stiftelse, statlig etc;123510;4621;Voss;Region Sør og Vest;Avdeling Bergen og omland;25.09.2018;Viki (Bulken);2017;40000.0;40000.0;0.0;;;ja;nei;nei;ja;nei;nei;nei;ja;ja;nei;130;80;80;1;50.0;5.0;0.0;0.0;25.0;0.0;20.0
nei;KOMM;844458312;Bjørnafjorden Kommune;974615908;Bjørnafjorden Kommune Drift Og Vedlikehald;4624;Bjørnafjorden;Nore Fusa Skule;Z1002171502347620114ZXWZC;Kommunal etat/enhet;;4624;Bjørnafjorden;Region Sør og Vest;Avdeling Bergen og omland;;Nore Fusa skule;2018;2977.0;2977.0;0.0;0.0;0.0;ja;ja;nei;nei;nei;ja;nei;nei;nei;nei;0;50;0;0;;;;;;;
nei;SA;970526196;Straumgjerde Vassverk Sa;993672505;Straumgjerde Vassverk Sa;1528;Sykkylven;Vannforsyningssystem;Z1002171757015293252RQEMV;;;1528;Sykkylven;Region Midt;Avdeling Sunnmøre;;Straumgjerde;2011;132300.0;132300.0;0.0;;;ja;ja;ja;ja;nei;ja;ja;ja;ja;nei;450;430;150;6;55.0;2.0;6.0;1.0;4.0;2.0;30.0
ja;SA;970526196;Straumgjerde Vassverk Sa;993672505;Straumgjerde Vassverk Sa;1528;Sykkylven;Straumgjerde Vassverk;Z1002171810099183252VPLUY;Privat AS, BA, lag, stiftelse, statlig etc;152804;1528;Sykkylven;Region Midt;Avdeling Sunnmøre;24.05.2019;Straumgjerde;2019;124126.0;124126.0;0.0;450.0;365.0;ja;ja;ja;ja;nei;ja;ja;nei;ja;nei;490;450;155;6;45.0;7.0;10.0;3.0;3.0;7.0;25.0
ja;STI;969414805;Stiftelsen Evju Bygdetun;978984983;Lærer Jon Evjus Legat Av Nes Selveiende Institusjon;3817;Midt-Telemark;Stiftelsen Evju Bygdetun - Vannforsyning;Z1002180756030581086ETOZF;Privat AS, BA, lag, stiftelse, statlig etc;;;;Region Øst;Avdeling Telemark;03.08.2016;Gvarv;2016;700.0;700.0;0.0;;;ja;ja;ja;ja;nei;nei;ja;nei;ja;nei;0;100;7;0;;;;;;;
nei;;;;;Igland Vassverk;4648;Bremanger;Igland Vassverk;Z1002180902176971093BAIOL;;;;;Region Sør og Vest;Avdeling Nordfjord;;;2009;5800.0;5800.0;;;;ja;ja;nei;ja;;;;;;nei;60;60;32;;;;;;;;
ja;;;;;Sølvberg Og Bergset Vassverk;4651;Stryn;Sølvberg Og Bergset Vassverk;Z1002180922573101093EOPRF;Privat AS, BA, lag, stiftelse, statlig etc;144909;4651;Stryn;Region Sør og Vest;Avdeling Nordfjord;29.05.2019;Sølvberg og Bergset;2019;11520.0;11520.0;0.0;150.0;14.0;ja;ja;ja;ja;nei;nei;nei;nei;ja;nei;98;120;42;5;56.0;3.0;0.0;3.0;35.0;1.0;2.0
ja;SA;999302114;Randabygda Vassverk Sa;911944758;Randabygda Vassverk Sa;4651;Stryn;Randabygda Vassverk;Z1002181001591811093MQLOG;Privat AS, BA, lag, stiftelse, statlig etc;144922;;;Region Sør og Vest;Avdeling Nordfjord;08.11.2017;Randabygda vassverk;2019;5500.0;5200.0;0.0;50.0;30.0;ja;nei;ja;ja;nei;ja;nei;nei;ja;nei;50;90;22;5;30.0;5.0;0.0;10.0;40.0;0.0;15.0
ja;KOMM;964951284;Horten Kommune;995099772;Horten Kommune Vannforsyning;3801;Horten;Horten Kommunale Vannverk;Z1002181630187110113RESLP;Kommunal etat/enhet;70102;3801;Horten;Region Øst;Avdeling Vestfold;02.04.2019;Horten;2019;0.0;2544727.0;2544727.0;26067.0;365.0;ja;ja;ja;ja;ja;ja;nei;ja;ja;nei;26067;30000;12194;94;56.0;0.5;06.mai;11.0;0.5;0.5;25.0
ja;KOMM;991891919;Kristiansund Kommune;987845643;Kristiansund Kommune  Avd Vann;1505;Kristiansund;Kristiansund Vannverk Byingeniøren;Z1002191058130731071IKMAH;Kommunal etat/enhet;150301;1505;Kristiansund;Region Midt;Avdeling Nordmøre og Romsdal;12.11.2019;Kristiansund kommune;2019;4018500.0;4018500.0;0.0;0.0;0.0;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;24092;24000;10000;284;35.0;1.0;15.0;2.0;4.0;4.0;39.0
nei;BEDR;;;994964593;Aud Torsen Familiebarnehage;1160;Vindafjord;Torsen Vannforsyning;Z1002191206336091027XHCSD;;;;;Region Sør og Vest;Avdeling Sunnhordland og Haugalandet;;;2010;5000.0;5000.0;;;;;ja;ja;ja;nei;ja;ja;nei;ja;nei;2;8;2;0;;;;;;;
nei;BEDR;;;874595942;Gausdal Kommune Teknisk Etat;522;Gausdal - UTGÅTT KODE;Svatsum Skole - Svatsum Vel 996242579;Z1002191303372621017NSNIT;;;;;Region Øst;Avdeling Gudbrandsdal;;svatsum skole;2010;205.0;205.0;0.0;;;ja;ja;nei;ja;nei;ja;nei;nei;nei;nei;10;10;3;0;;;;;;;
ja;BA;988807613;Støvset Vannverk;993722766;Støvset Vannverk;1804;Bodø;Støvset Vannverk;Z1002191353122811043BTKFP;Privat AS, BA, lag, stiftelse, statlig etc;;;;Region Nord;Avdeling Salten;04.10.2017;Støvset;2019;3000.0;3000.0;12.0;100.0;360.0;nei;ja;nei;ja;nei;nei;nei;nei;ja;nei;35;70;17;17;;;;;;;
nei;BEDR;;;993982857;Hervik Kraftlag Al;1146;Tysvær;Hervik Kraftlag A/L;Z1002222325546931035FWCQH;;;1146;Tysvær;Region Sør og Vest;Avdeling Sunnhordland og Haugalandet;;Hervik;2009;30509.0;30509.0;0.0;;;ja;ja;ja;ja;nei;ja;ja;ja;ja;nei;120;700;60;5;;;;;;;
ja;KOMM;864950582;Ringsaker Kommune;973667130;Ringsaker Vannverk;3411;Ringsaker;Ringsaker Kommune, Tekn.Drift, Vannforsyning Sjusjøen;Z1002231016243771064GVWUP;Kommunal etat/enhet;41229;3411;Ringsaker;Region Øst;Avdeling Mjøsområdet;03.05.2019;Sjusjøen;2019;0.0;253260.0;253260.0;;;ja;ja;ja;ja;nei;nei;nei;ja;nei;nei;117;4764;47;2446;0.0;32.0;0.0;0.0;0.0;0.0;68.0
nei;BEDR;;;994123300;Lysinga Vannverk Ba;432;Rendalen - UTGÅTT KODE;Lysinga Vannverk A/L;Z1002231347392571011KETCE;Privat AS, BA, lag, stiftelse, statlig etc;43202;3424;Rendalen;Region Øst;Avdeling Glåmdal og Østerdal;07.05.2013;Bergset og Elvål;2014;112915.0;112915.0;0.0;0.0;0.0;nei;nei;nei;ja;nei;ja;nei;nei;ja;nei;464;500;200;0;40.0;10.0;;;10.0;5.0;35.0
ja;KOMM;964966575;Valle Kommune;978606245;Valle Kommune Teknisk Avdeling;4221;Valle;Valle Vannverk;Z1002231413069820129OYTVW;Kommunal etat/enhet;94002;4221;Valle;Region Sør og Vest;Avdeling Agder;11.09.2018;Homme - Harstad;2019;77778.0;77778.0;0.0;211.0;211.0;ja;nei;ja;ja;ja;ja;nei;ja;ja;nei;500;700;164;5;85.0;1.0;1.0;2.0;2.0;4.0;5.0
ja;KOMM;964966575;Valle Kommune;978606245;Valle Kommune Teknisk Avdeling;4221;Valle;Flateland Vannverk;Z1002231413192790129LBLLG;Kommunal etat/enhet;94003;;;Region Sør og Vest;Avdeling Agder;11.09.2018;Flateland;2019;1644.0;1644.0;0.0;36.0;36.0;ja;nei;ja;ja;nei;nei;nei;nei;ja;nei;36;40;15;5;;;;;;;
ja;KOMM;964966575;Valle Kommune;978606245;Valle Kommune Teknisk Avdeling;4221;Valle;Rysstad Vannverk;Z1002231413323890129PIPYY;Kommunal etat/enhet;94001;;;Region Sør og Vest;Avdeling Agder;11.09.2018;Rysstad, Helle, Hovet/Bjørgum og Nomeland;2019;81087.0;81087.0;0.0;187.0;187.0;ja;ja;ja;ja;nei;ja;nei;ja;ja;nei;300;300;100;0;60.0;5.0;5.0;10.0;10.0;5.0;5.0
nei;;;;;Vannforsyningssystem;3449;Sør-Aurdal;Vannforsyningssystem;Z1002231546267273251IEEGG;Privat AS, BA, lag, stiftelse, statlig etc;;3449;Sør-Aurdal;Region Øst;Avdeling Nordre Buskerud, Hadeland og Valdres;;Søre Fekjær;2013;0.0;0.0;;;;ja;nei;nei;ja;ja;nei;ja;nei;ja;nei;15;15;2;0;;;;;;;
nei;BEDR;;;993983985;Aune & Oksvoll Vannverk;1627;Bjugn - UTGÅTT KODE;Vannforsyningssystem;Z1002241228427063252UUHKO;;162701;5057;Ørland;Region Midt;Avdeling Innherred og Fosen;28.02.2012;Aune og Oksvoll grend;2011;41500.0;41500.0;2300.0;;;ja;nei;nei;ja;nei;ja;ja;ja;ja;ja;250;300;70;45;60.0;35.5;0.0;0.0;04.mai;0.0;0.0
ja;KOMM;942110286;Sør-Varanger Kommune;978609473;Sør-Varanger Kommune Vann, Avløp Og Renovasjon;5444;Sør-Varanger;Bugøynes Vannverk;Z1002251251287091085JUNJA;Kommunal etat/enhet;203002;5444;Sør-Varanger;Region Nord;Avdeling Finnmark;01.07.2015;Bugøynes;2019;255041.0;255041.0;0.0;0.0;0.0;ja;ja;ja;ja;ja;ja;ja;ja;nei;ja;350;350;122;0;50.0;5.0;15.0;5.0;0.0;5.0;20.0
ja;SA;970922121;Vestresand Vannverk Sa;994124951;Vestresand Vannverk Sa;1860;Vestvågøy;Vestresand Vassverk Sa;Z1002251315179491043FPHKJ;Privat AS, BA, lag, stiftelse, statlig etc;186013;1860;Vestvågøy;Region Nord;Avdeling Midtre Hålogaland;21.09.2018;Elstad-Haukland-Val-Vestresand-Vassbogan-Sandøy;2019;24380.0;24380.0;0.0;;;ja;nei;nei;ja;nei;nei;ja;ja;nei;nei;75;250;46;68;24.0;24.0;0.0;2.0;0.0;0.0;50.0
nei;BEDR;;;973965115;Lindås Kommune Eigedomseininga;1263;Lindås - UTGÅTT KODE;Eikanger Skule;Z1002261118384033251QJNRD;Kommunal etat/enhet;;4631;Alver;Region Sør og Vest;Avdeling Bergen og omland;08.03.2013;Eikanger skule;2014;80.0;80.0;;;;nei;nei;nei;nei;nei;ja;nei;nei;nei;nei;0;70;0;0;;;;;;;
nei;BEDR;;;973965115;Lindås Kommune Eigedomseininga;1263;Lindås - UTGÅTT KODE;Skodvin Skule;Z1002261131149663251PMIIC;Kommunal etat/enhet;;4631;Alver;Region Sør og Vest;Avdeling Bergen og omland;08.03.2013;Skodvin skule;2014;80.0;80.0;;;;nei;nei;nei;nei;nei;ja;nei;nei;nei;nei;0;70;0;0;;;;;;;
ja;ENK;970402594;Tolsby Håkon Lofthus;972925209;Stora Lee Camping;3012;Aremark;Stora Lee Camping Vannforsyning;Z1003011124271901020VYRMZ;Privat AS, BA, lag, stiftelse, statlig etc;;3012;Aremark;Region Stor-Oslo;Avdeling Østfold og Follo;08.08.2018;Stora Lee Camping;2019;2492.0;2492.0;0.0;;;ja;ja;nei;ja;nei;nei;nei;ja;ja;nei;10;500;3;180;;;;;;;
ja;KOMM;997391853;Inderøy Kommune;993189480;Inderøy Vannverk;5053;Inderøy;Inderøy Kommune;Z1003011250064661028EOKPM;Kommunal etat/enhet;172907;5053;Inderøy;Region Midt;Avdeling Innherred og Fosen;02.10.2018;Hele kommunen unntatt Mosvik;2019;892993.0;892993.0;0.0;5650.0;2.0;ja;ja;ja;ja;ja;ja;ja;ja;ja;nei;5650;5700;2100;160;42.0;3.0;12.0;6.0;15.0;0.0;22.0
ja;ANS;988309729;Trysil-Knuts Fjellverden, Eltdalen Nordre Ans;986179828;Trysil-Knuts Fjellverden;3421;Trysil;Trysil- Eltdalen Nordre Ans;Z1003011341526221028AOQZM;Privat AS, BA, lag, stiftelse, statlig etc;42811;3421;Trysil;Region Øst;Avdeling Glåmdal og Østerdal;03.11.2014;;2019;0.0;21600.0;0.0;;;ja;nei;nei;nei;;;ja;ja;;;0;300;0;160;;;;;;;
nei;BEDR;;;995177625;Nord-Odal Kommunale Vannverk;418;Nord-Odal - UTGÅTT KODE;Nord-Odal Kommunale Vannverk;Z1003011545578651089IODZP;;41808;3414;Nord-Odal;Region Øst;Avdeling Glåmdal og Østerdal;29.04.2011;;2011;72852.0;72852.0;0.0;;;ja;nei;nei;ja;ja;ja;ja;ja;ja;nei;873;1232;397;26;67.0;2.0;1.0;2.0;1.0;7.0;20.0
ja;IKS;989016245;Givas Iks;992951478;Givas Iks   Avd Vann;3401;Kongsvinger;Givas - Granli;Z1003020920077071089EPLFK;Interkommunalt selskap (IKS);40203;3401;Kongsvinger;Region Øst;Avdeling Glåmdal og Østerdal;07.02.2020;Kongsvinger, Roverud, Brandval, Nor, Granli;2019;1722352.0;1722352.0;0.0;16000.0;365.0;ja;ja;ja;ja;ja;ja;ja;ja;ja;nei;16600;20000;8300;10;53.0;0.0;5.0;0.0;0.0;5.0;37.0
ja;IKS;989016245;Givas Iks;992951478;Givas Iks   Avd Vann;3401;Kongsvinger;Givas Iks V.V. Svullrya;Z1003020920093631089DTJTK;Interkommunalt selskap (IKS);42302;3417;Grue;Region Øst;Avdeling Glåmdal og Østerdal;07.02.2020;Svullrya;2019;38053.0;38053.0;0.0;200.0;365.0;ja;ja;ja;ja;ja;nei;nei;ja;ja;nei;190;300;100;15;20.0;0.0;0.0;0.0;0.0;11.0;69.0
ja;IKS;989016245;Givas Iks;992951478;Givas Iks   Avd Vann;3401;Kongsvinger;Givas Austmarka;Z1003020920105661089PTMLD;Interkommunalt selskap (IKS);40201;3401;Kongsvinger;Region Øst;Avdeling Glåmdal og Østerdal;07.02.2020;Austmarka, Brødbøl;2019;86626.0;86626.0;0.0;250.0;365.0;ja;ja;ja;ja;ja;ja;nei;ja;ja;nei;416;500;204;4;27.0;0.0;0.0;0.0;0.0;10.0;63.0
ja;BA;970557148;Skjerstad Vassverk;917164991;Skjerstad Vassverk;1804;Bodø;Skjerstad Vassverk;Z1003021109513871066SGURT;Privat AS, BA, lag, stiftelse, statlig etc;180418;;;Region Nord;Avdeling Salten;09.11.2016;Skjerstad;2019;21027.0;21027.0;0.0;0.0;0.0;ja;ja;ja;ja;ja;ja;ja;nei;ja;nei;180;300;65;30;55.0;20.0;0.0;5.0;5.0;5.0;10.0
ja;FLI;940698332;Den Norske Turistforening Oslo Og Omegn;973250671;Dnt Oslo Og Omegn;301;Oslo kommune;Kobberhaughytta Vannforsyning;Z1003021148085921011IGXUN;Privat AS, BA, lag, stiftelse, statlig etc;;301;Oslo kommune;Region Stor-Oslo;Avdeling Oslo, Asker og Bærum;10.12.2016;;2019;243.0;243.0;0.0;0.0;0.0;;nei;nei;ja;nei;nei;ja;ja;nei;nei;2;115;1;0;;;;;;;
ja;SA;970190546;Brattforsen Vassverk Sa;993668125;Brattforsen Vassverk Sa;1853;Evenes;Brattforsen Vassverk Sa;Z1003021440171110129QHFWA;Privat AS, BA, lag, stiftelse, statlig etc;185302;1853;Evenes;Region Nord;Avdeling Midtre Hålogaland;24.11.2014;Volden, Liland, Bjeldgam, Leiros, Lakså, Dragvik;2019;106097.0;106097.0;0.0;0.0;0.0;ja;ja;ja;ja;ja;ja;nei;nei;ja;nei;450;490;220;50;47.0;8.0;0.0;5.0;16.0;4.0;20.0
nei;BA;975428559;Nessane Vassverk Ba;993677612;Nessane Vassverk Ba;4640;Sogndal;Nessane Vassverk;Z1003021510274250114ROWPT;;;;;Region Sør og Vest;Avdeling Sunnfjord og Sogn;;;2009;168000.0;;;;;;nei;nei;ja;ja;ja;ja;nei;ja;nei;80;100;35;2;;;;;;;
ja;SA;957612741;Namsskogan Vannverk Sa;993658561;Namsskogan Vannverk Sa;5044;Namsskogan;Namsskogan Vannverk - Privat Del;Z1003081241151221025PTOHC;Privat AS, BA, lag, stiftelse, statlig etc;174002;5044;Namsskogan;Region Midt;Avdeling Namdal;01.11.2016;Namsskogan sentrum;2019;0.0;65591.0;65591.0;0.0;0.0;ja;ja;nei;ja;ja;ja;ja;ja;nei;nei;350;350;140;1;35.0;5.0;5.0;25.0;0.0;0.0;30.0
ja;SA;970542965;Frogn Private Vannverk Sa;994124676;Frogn Private Vannverk Sa;3022;Frogn;Frogn Private Vannverk;Z1003090001506913251AUNVL;Privat AS, BA, lag, stiftelse, statlig etc;21505;3022;Frogn;Region Stor-Oslo;Avdeling Østfold og Follo;26.10.2016; Frogn kommune;2016;8760.0;8760.0;0.0;300.0;365.0;nei;nei;nei;ja;nei;nei;nei;nei;ja;nei;101;101;45;0;100.0;0.0;0.0;0.0;0.0;0.0;0.0
