aktiv;orgform;fnr;fnavn;orgnr;virksomhet;virksomhet_kommunenr;virksomhet_kommune;vannforsyningssystem;mtid_vf;ir_orgform;vregnr;kommunenr;kommune;mtregion;mtavdeling;siste_insp;omraade;periode;vannprod;vannegetnett;vann_mottatt;max_vann_pers;max_vann_dogn;beredskap;beredsk_oppd;beredsk_ovelse;boliger;helseinst;skoler;nmindustri;hyttercamp;gardsbruk;fiskemottak;ant_fastboende;ant_personer_max;ant_husstander;ant_hytter;forbr_fast_bosetting;forbr_fritidsboliger;forbr_industri;forbr_tjytende;forbr_primnaering;forbr_annet;forbr_lekkasje
nei;SA;;;970210423;Unset Vannverk Sa;3424;Rendalen;Unset Vannverk Ba;Z0704301341008861189YPMRC;;43213;3424;Rendalen;Region Øst;Avdeling Glåmdal og Østerdal;06.06.2007;;2008;34400.0;34400.0;;;;ja;nei;nei;ja;;;ja;ja;;;120;130;60;32;;;;;;;
ja;SA;970549455;Otnes Vannverk Sa;973637150;Otnes Vannverk Sa;3424;Rendalen;Otnes Vannverk;Z0704301341011811189BCGTK;Privat AS, BA, lag, stiftelse, statlig etc;43203;3424;Rendalen;Region Øst;Avdeling Glåmdal og Østerdal;24.04.2013;;2018;39410.0;39410.0;0.0;;;ja;ja;ja;ja;;;nei;nei;;;602;602;240;0;50.0;15.0;5.0;10.0;10.0;5.0;5.0
ja;SA;879253632;Øversjødalen Vannverk Sa;890303722;Øversjødalen Vannverk Sa;3426;Tolga;Øversjødalen Vannverk;Z0704301341021261189RMEAB;Privat AS, BA, lag, stiftelse, statlig etc;43606;3426;Tolga;Region Øst;Avdeling Glåmdal og Østerdal;11.07.2013;;2019;11992.0;11992.0;0.0;500.0;365.0;nei;nei;nei;ja;;;nei;ja;;;60;60;30;24;30.0;30.0;0.0;0.0;30.0;0.0;10.0
ja;AS;925574686;Sande Vannverk As;975107906;Sande Vannverk As;3802;Holmestrand;Sande Vannverk As;Z0704301341053861189TZTIP;Privat AS, BA, lag, stiftelse, statlig etc;71312;3802;Holmestrand;Region Øst;Avdeling Vestfold;22.08.2019;Sande kommune;2019;169291.0;169291.0;100.0;2400.0;365.0;ja;ja;nei;ja;ja;nei;ja;nei;ja;nei;2400;2400;800;0;60.0;0.0;5.0;2.0;10.0;0.0;23.0
nei;FLI;989695975;Bjerkely Skole;973915886;Bjerkely Skole;3803;Tønsberg;Bjerkely Skole Vannverk;Z0704301341066321189NGLEI;Privat AS, BA, lag, stiftelse, statlig etc;;;;Region Øst;Avdeling Vestfold;08.10.2013;Solhaug;2016;180.0;180.0;0.0;;;nei;nei;nei;ja;nei;ja;nei;nei;nei;nei;3;51;1;0;;;;;;;
nei;ENK;;;869981982;Synnøve Fleischer;714;Hof - UTGÅTT KODE;Ikke Aktiv Thorrud Camping Vannverk;Z0704301341186681190VXAFV;;;;;Region Øst;Avdeling Vestfold;02.08.2007;Campingplass ;2009;1.0;1.0;;;;;nei;nei;ja;nei;nei;nei;ja;nei;nei;;300;6;;;;;;;;
nei;SA;;;970231242;Rossvatnet Vannverk Sa;5029;Skaun;Rossvatnet Vannverk;Z0704301341190891190LBLDK;Privat AS, BA, lag, stiftelse, statlig etc;165706;5029;Skaun;Region Midt;Avdeling Trondheim og omland;06.11.2014;Jåren;2016;13140.0;13140.0;80.0;0.0;0.0;ja;nei;nei;ja;nei;ja;nei;nei;ja;nei;204;224;63;5;86.0;1.0;0.0;0.0;0.0;3.0;10.0
ja;STI;975384934;Søvasskjølen Fjellkirke;918215190;Søvasskjølen Fjellkirke;5059;Orkland;Søvasskjølen Fjellkirke;Z0704301341196211190QJNYT;;;;;Region Midt;Avdeling Trondheim og omland;;Søvasskjølen fjellkirke;2010;500.0;500.0;;;;nei;nei;ja;ja;nei;nei;nei;nei;nei;nei;5;60;1;0;;;;;;;
ja;ENK;970399097;Øyan Jan;972970719;Øyan Jan;5059;Orkland;Terningen Vannverk;Z0704301341201331190JQFVO;Privat AS, BA, lag, stiftelse, statlig etc;161305;;;Region Midt;Avdeling Trondheim og omland;24.08.2017;Terningen;2019;2000.0;2000.0;0.0;0.0;0.0;nei;nei;nei;ja;nei;nei;nei;nei;ja;nei;10;60;3;25;;;;;;;
ja;SA;870076762;Gjeddevann Avløps- Og Vannverk Sa;971883944;Gjeddevann Avløps- Og Vannverk Sa;5441;Tana;Gjeddevann Vannverk A/L;Z0704301341209601190VHJYM;Privat AS, BA, lag, stiftelse, statlig etc;202501;5441;Tana;Region Nord;Avdeling Finnmark;21.05.2019;Tana komune Gnr 15,16,17 og 18;2019;60000.0;60000.0;0.0;0.0;0.0;ja;ja;ja;ja;nei;ja;ja;ja;ja;nei;700;700;200;43;70.0;5.0;0.0;0.0;15.0;0.0;10.0
